Num_Acc;catr;voie;v1;circ;nbv;vosp;prof;pr;pr1;plan;larrout;surf;infra;situ;vma
536537192;3;111;0;2;2;2;1;0;1;1;-1;1;0;5;50
536537193;3;931;0;3;2;3;1;0;1;1;-1;1;0;1;50
536537194;4;;0;2;2;0;1;0;0;1;-1;1;0;1;50
536537195;3;115;0;2;2;0;1;0;1;1;-1;1;0;1;50
536537195;3;;0;2;2;0;1;0;0;1;-1;1;0;1;50
536537196;4;GARE (RUE DE LA);0;1;2;0;1;0;1;1;-1;1;0;1;50
536537197;4;OWENS JAMES;0;2;2;0;1;0;0;2;-1;2;0;2;70
536537198;4;;0;1;3;2;1;-1;-1;1;-1;1;0;1;30
536537198;4;;0;1;1;2;1;-1;-1;1;-1;1;0;5;30
536537199;4;;0;1;1;2;1;-1;-1;1;-1;1;0;1;30
536537200;1;AUTOROUTE A1;0;2;6;0;1;1;0;1;-1;1;0;1;90
536537201;3;ROUTE DEPARTEMENTALE 3;0;2;2;0;1;3;0;1;-1;1;0;8;70
536537202;4;GALLIENI                            (PT);0;2;5;3;1;-1;-1;1;-1;1;2;1;50
536537203;4;BOIS DE ROCHEFORT (CHEMIN DU BAS D;0;2;2;0;1;0;0;1;-1;1;0;1;50
536537204;4;BARJAVEL;0;1;1;0;1;0;0;1;-1;1;0;1;30
536537205;3;SALINS ( ROUTE DES VIEUX);0;2;2;0;2;41;-190;1;7;1;0;1;70
536537206;3;RN7;0;2;2;0;2;112;1;2;-1;1;0;1;80
536537207;4;BRIQUETTERIE (RUE DE LA);0;2;2;0;1;0;0;1;-1;1;0;1;50
536537208;3;ITHURRALDE ANDRE (AVENUE);0;3;0;0;1;23;700;1;0;1;5;1;50
536537208;3;LAHANCHIPIA (AVENUE);0;3;0;0;2;-1;-1;1;0;1;5;8;50
536537209;4;GASTON CAMBOT;0;2;2;1;2;-1;-1;1;-1;1;0;1;50
536537210;3;AIRE ( D');0;2;2;0;2;18;300;1;;1;0;1;50
536537210;3;PHILIPPEVILLE;0;2;2;0;1;-1;-1;1;;1;0;8;50
536537211;4;MALCENSE (RUE DE LA);0;2;2;0;1;0;0;1;-1;1;0;4;30
536537212;7;DELATTRE ALFRED RUE;0;1;0;0;1;-1;-1;1;-1;1;0;1;50
536537212;7;SALENGRO ROGER RUE;0;2;2;1;1;27;450;1;-1;1;0;5;50
536537213;4;FERRY (RUE JULES);0;2;2;0;1;-1;-1;1;-1;1;0;1;30
536537213;4;MAHIEU (RUE);0;1;1;1;1;-1;-1;1;-1;1;0;1;30
536537214;4;Général Leclerc ( avenue du );0;2;2;2;1;-1;-1;1;-1;1;;4;50
536537215;4;POMMERY (BOULEVARD);0;2;2;0;1;-1;-1;1;;1;0;1;50
536537216;4;MARECHAL JUIN (RUE);0;2;2;0;1;-1;-1;1;-1;2;0;3;50
536537217;3;rocade ouest;0;3;2;0;1;0;375;1;7;1;0;1;90
536537218;4;RUE GÉNÉRAL MANGIN;0;2;2;0;1;-1;-1;1;-1;1;0;1;50
536537219;4;HUGO (VICTOR);0;1;1;0;1;-1;-1;1;-1;1;0;1;30
536537219;4;LECLERC (AVENUE DU MARECHAL);0;2;1;0;1;-1;-1;1;-1;1;0;1;30
536537220;4;JAURES (BOULEVARD JEAN);0;2;2;2;3;-1;-1;1;-1;1;0;1;50
536537221;4;;0;2;2;0;1;-1;-1;1;-1;1;0;8;30
536537222;4;AVE CHARLES DE GAULLE CAUD;0;1;2;1;1;-1;-1;1;-1;1;9;4;30
536537223;4;GARLABAN (AVENUE DU);0;1;2;3;1;-1;-1;2;-1;1;8;6;50
536537223;4;PAGNOL (AVENUE MARCEL);0;2;2;0;1;0;0;1;-1;1;0;1;50
536537224;4;MATISSE (AV. HENRI);0;2;4;0;1;1;0;1;-1;1;0;1;50
536537224;4;NAPOLEON III (BD);0;2;3;0;1;1;0;3;-1;1;0;1;50
536537225;4;LEADER (BOULEVARD);0;2;2;0;1;0;0;1;-1;1;0;1;30
536537225;4;PICAUD (AVENUE DU DOCTEUR);0;2;2;0;1;0;0;1;-1;1;9;1;50
536537226;3;MOULIN (BOULEVARD JEAN);0;3;3;1;1;2;249;1;-1;1;0;1;50
536537228;4;COUTELIERS (RUE DES);0;2;2;0;1;0;0;1;-1;1;0;3;50
536537228;4;MAISONS BLANCHES (RUE DES);0;2;2;0;2;0;0;2;-1;1;9;3;50
536537229;4;CUZIN (AV. F.);0;2;2;0;1;0;0;1;-1;1;0;1;50
536537230;3;FRANCE (RUE A. DU 1-5 ET 143 AU158);0;2;2;0;1;68;560;1;-1;1;0;8;50
536537231;4;ECHANGEUR BERCY;0;1;-1;0;1;35;0;1;-1;1;0;1;70
536537232;4;BOULEVARD SAINT GERMAIN;0;1;4;0;1;-1;-1;1;-1;1;0;1;30
536537232;4;RUE DANTON;0;1;2;0;1;-1;-1;1;-1;1;0;1;30
536537233;4;ALLEE DE LONGCHAMP;0;2;2;0;1;0;0;1;-1;2;9;1;50
536537234;4;AVENUE DE LA PORTE D ORLEANS;0;1;0;2;1;-1;-1;1;0;1;0;1;50
536537234;4;BOULEVARD ROMAIN ROLLAND;0;1;-1;0;1;-1;-1;1;0;1;0;1;50
536537235;4;BOULEVARD PERIPHERIQUE INTERIEUR SUD;0;1;1;0;2;-1;-1;1;-1;1;0;1;50
536537235;4;QUAI D IVRY;0;2;2;1;1;-1;-1;1;-1;1;8;1;50
536537236;4;;;1;-1;;1;-1;-1;1;-1;1;0;1;30
536537237;4;BOULEVARD DE MAGENTA;0;2;6;1;1;-1;-1;1;-1;1;0;1;30
536537237;4;;;1;-1;;1;-1;-1;1;-1;1;0;1;30
536537238;4;BOULEVARD PEREIRE;0;1;2;0;1;-1;-1;1;-1;1;9;1;30
536537238;4;RUE RENNEQUIN;0;2;2;0;1;-1;-1;1;-1;1;9;1;30
536537239;2;6;0;3;4;0;1;17;0;1;-1;1;0;1;50
536537240;3;160;0;2;2;3;1;0;0;1;-1;1;0;1;50
536537241;3;145;0;2;2;1;1;0;1;1;7;1;0;1;50
536537241;3;;0;2;2;0;1;0;0;1;7;1;0;1;50
536537242;3;40;0;3;4;0;1;0;1;1;-1;1;5;1;50
536537242;3;;0;2;2;0;1;0;0;1;-1;1;0;1;50
536537243;4;;0;2;2;0;1;0;0;1;-1;1;0;1;50
536537244;3;CHARLES DE GAULLE (BD);0;1;6;0;1;0;0;1;-1;1;6;1;50
536537244;3;GABRIEL PERI (RUE);0;1;4;0;1;0;0;1;-1;1;0;8;50
536537245;4;ARGENTEUIL ( AVENUE D' );0;2;2;0;1;0;0;1;-1;1;0;1;50
536537246;3;13;;2;2;0;1;17;760;1;-1;1;0;1;80
536537247;3;95;0;2;2;0;1;45;540;2;5;1;0;3;80
536537248;2;1;0;1;4;0;2;19;976;3;-1;1;0;1;90
536537249;3;;;2;2;0;2;16;700;3;;1;0;3;80
536537250;3;44;;2;2;0;1;0;560;1;5;1;0;3;80
536537251;3;389;;2;2;0;1;25;500;1;;1;0;1;80
536537251;3;;;2;2;0;2;-1;-1;1;-1;1;0;1;50
536537253;3;56;0;2;2;0;1;2;670;1;4;1;0;3;90
536537254;3;729;0;2;2;0;1;8;900;1;;1;0;8;80
536537255;4;;0;1;1;0;2;-1;-1;1;-1;2;0;8;30
536537256;3;;;2;2;;1;0;280;1;-1;1;5;1;80
536537256;3;;;2;2;1;1;-1;-1;1;-1;1;5;1;50
536537257;3;;;2;2;0;1;35;485;1;;1;0;1;80
536537258;4;;;2;1;0;1;-1;-1;1;-1;1;0;1;50
536537259;3;957;0;3;4;0;1;22;450;2;-1;1;0;1;110
536537260;1;Autoroute A30;0;3;2;0;1;1;899;1;10;1;0;1;110
536537262;3;560;0;2;2;0;1;2;600;3;7;1;0;1;50
536537263;1;AUTOROUTE A21;0;3;4;0;1;12;180;2;-1;1;0;1;90
536537264;7;913;0;2;2;0;2;-1;-1;1;7;1;0;1;80
536537265;1;AUTOROUTE A3;0;3;5;0;1;1;0;1;17;1;1;1;90
536537266;3;11;0;2;2;0;3;4;530;1;;2;5;1;80
536537266;3;123;;2;2;;1;4;740;1;-1;2;5;1;80
536537267;1;AUTOROUTE A15;0;3;3;0;1;12;0;1;14;2;0;1;110
536537269;4;;;2;2;0;1;-1;-1;1;-1;1;0;4;50
536537270;2;kaweni-Poste ( rue de la );0;2;2;0;1;-1;-1;1;-1;1;0;1;50
536537271;1;919;;2;2;0;1;0;327;1;7;1;0;1;80
536537272;2;JAURES (BLD 2 JEAN);0;1;1;0;1;5;53;1;-1;1;0;1;70
536537273;3;;;2;2;0;1;20;415;2;7;1;0;3;80
536537274;3;168;0;2;2;0;1;3;414;2;4;1;0;1;50
536537274;3;;;2;2;;1;44;854;2;-1;1;0;1;50
536537275;3;BADUEL (ROUTE DE);0;2;2;0;1;2;890;1;-1;1;0;1;50
536537276;3;18;;2;2;0;3;10;500;3;;1;0;1;80
536537277;1;;0;2;4;0;1;1;500;1;-1;2;0;8;90
536537278;3;80;0;2;2;0;1;12;460;1;;1;0;4;50
536537279;4;;0;1;1;1;1;-1;-1;1;-1;1;0;3;50
536537280;3;35;;2;2;0;2;0;390;3;4;1;0;1;90
536537281;2;TOUTES RUES;0;3;4;0;1;1;0;1;-1;1;0;1;90
536537282;4;103;0;2;2;0;2;0;0;1;-1;1;0;1;50
536537284;3;143;;2;2;0;1;12;650;1;5;1;0;1;80
536537284;3;234;;2;2;0;1;0;1;1;5;1;0;1;80
536537285;3;GERARD BAPTISTIDE ( RUE );0;2;1;0;1;-1;-1;1;-1;1;0;1;50
536537285;3;GERMAIN ST RUF (AVENUE );0;2;2;0;1;-1;-1;1;-1;1;0;1;50
536537286;3;813;;2;2;0;1;1;668;2;8;1;0;3;80
536537287;4;ACQUALONGA CHEMIN;0;2;1;0;1;-1;-1;1;3;1;0;1;50
